this is a circnode:
Tree root:0 | self_url:http://wikipedia.org/wiki/Peafowl
Node key:inf | self_url:http://pl.wikipedia.org/wiki/Pavo
Node key:inf | self_url:http://pt.wikipedia.org/wiki/Pav%C3%A3o
Node key:inf | self_url:http://ro.wikipedia.org/wiki/P%C4%83un
Node key:inf | self_url:http://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%B2%D0%BB%D0%B8%D0%BD%D1%8B
Node key:inf | self_url:http://sa.wikipedia.org/wiki/%E0%A4%AE%E0%A4%AF%E0%A5%82%E0%A4%B0%E0%A4%83
Node key:inf | self_url:http://simple.wikipedia.org/wiki/Peafowl
Node key:inf | self_url:http://sl.wikipedia.org/wiki/Pav_(rod)
Node key:inf | self_url:http://sr.wikipedia.org/wiki/%D0%9F%D0%B0%D1%83%D0%BD
Node key:inf | self_url:http://fi.wikipedia.org/wiki/Riikinkukot
Node key:inf | self_url:http://sv.wikipedia.org/wiki/P%C3%A5f%C3%A5glar
Node key:inf | self_url:http://ta.wikipedia.org/wiki/%E0%AE%AE%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D
Node key:inf | self_url:http://te.wikipedia.org/wiki/%E0%B0%A8%E0%B1%86%E0%B0%AE%E0%B0%B2%E0%B0%BF
Node key:inf | self_url:http://th.wikipedia.org/wiki/%E0%B8%99%E0%B8%81%E0%B8%A2%E0%B8%B9%E0%B8%87
Node key:inf | self_url:http://tr.wikipedia.org/wiki/Tavus_ku%C5%9Fu
Node key:inf | self_url:http://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D0%B2%D0%B8%D1%87
Node key:inf | self_url:http://vi.wikipedia.org/wiki/C%C3%B4ng_(chim)
Node key:inf | self_url:http://zh-yue.wikipedia.org/wiki/%E5%AD%94%E9%9B%80
Node key:inf | self_url:http://zh.wikipedia.org/wiki/%E5%AD%94%E9%9B%80
Node key:inf | self_url:http://www.wikidata.org/wiki/Q201251#sitelinks
Node key:inf | self_url:http://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License
Node key:inf | self_url:http://creativecommons.org/licenses/by-sa/3.0/
Node key:inf | self_url:http://wikimediafoundation.org/wiki/Terms_of_Use
Node key:inf | self_url:http://wikimediafoundation.org/wiki/Privacy_policy
Node key:inf | self_url:http://www.wikimediafoundation.org/
Node key:inf | self_url:http://wikipedia.org/wiki/Wikipedia:General_disclaimer
Node key:inf | self_url:http://en.m.wikipedia.org/wiki/Peafowl
Node key:inf | self_url:http://wikimediafoundation.org/
Node key:inf | self_url:http://www.mediawiki.org/

this is a circnode:
Tree root:inf | self_url:http://wikipedia.org/wiki/Peafowl#p-search
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#mw-navigation
Node key:inf | self_url:http://wikipedia.org/wiki/Peacock_(disambiguation)
Node key:inf | self_url:http://wikipedia.org/wiki/File:Paonroue.JPG
Node key:inf | self_url:http://wikipedia.org/wiki/Indian_Peafowl
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#Plumage
Node key:inf | self_url:http://wikipedia.org/wiki/Biological_classification
Node key:inf | self_url:http://wikipedia.org/wiki/Animal
Node key:inf | self_url:http://wikipedia.org/wiki/Chordate
Node key:inf | self_url:http://wikipedia.org/wiki/Bird
Node key:inf | self_url:http://wikipedia.org/wiki/Galliformes
Node key:inf | self_url:http://wikipedia.org/wiki/Phasianidae
Node key:inf | self_url:http://wikipedia.org/wiki/Phasianinae
Node key:inf | self_url:http://wikipedia.org/wiki/Pavo_(genus)
Node key:inf | self_url:http://wikipedia.org/wiki/Carl_Linnaeus
Node key:inf | self_url:http://wikipedia.org/wiki/10th_edition_of_Systema_Naturae
Node key:inf | self_url:http://wikipedia.org/wiki/Pavo_cristatus
Node key:inf | self_url:http://wikipedia.org/wiki/Pavo_muticus
Node key:inf | self_url:http://wikipedia.org/wiki/Species
Node key:inf | self_url:http://wikipedia.org/wiki/Genus
Node key:inf | self_url:http://wikipedia.org/wiki/Pheasant
Node key:inf | self_url:http://wikipedia.org/wiki/Family_(biology)
Node key:inf | self_url:http://wikipedia.org/wiki/Covert_feathers
Node key:inf | self_url:http://wikipedia.org/wiki/Courtship
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#cite_note-1
Node key:inf | self_url:http://wikipedia.org/wiki/Congo_Peafowl
Node key:inf | self_url:http://wikipedia.org/wiki/South_Asia
Node key:inf | self_url:http://wikipedia.org/wiki/National_bird
Node key:inf | self_url:http://wikipedia.org/wiki/India
Node key:inf | self_url:http://wikipedia.org/wiki/Green_Peafowl
Node key:inf | self_url:http://wikipedia.org/wiki/Burma
Node key:inf | self_url:http://wikipedia.org/wiki/Java_(island)
Node key:inf | self_url:http://wikipedia.org/wiki/IUCN
Node key:inf | self_url:http://wikipedia.org/wiki/Endangered_species
Node key:inf | self_url:http://wikipedia.org/wiki/Habitat_loss
Node key:inf | self_url:http://wikipedia.org/wiki/Green_Peafowl#National_symbol
Node key:inf | self_url:http://wikipedia.org/wiki/History_of_Burma
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#Coloration
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#Evolution_and_sexual_selection
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#Behaviour
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#Diet
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#Cultural_significance
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#Gastronomy
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#References
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#External_links
Node key:inf | self_url:http://wikipedia.org/w/index.php?title=Peafowl&amp;action=edit&amp;section=1
Node key:inf | self_url:http://wikipedia.org/wiki/Covert_(feather)
Node key:inf | self_url:http://wikipedia.org/wiki/Wikipedia:Citation_needed
Node key:inf | self_url:http://wikipedia.org/wiki/File:Indian_Peafowl.jpg
Node key:inf | self_url:http://wikipedia.org/wiki/File:Trevarno,_pavo_cristatus06.jpg
Node key:inf | self_url:http://wikipedia.org/wiki/File:Siamese_Dragon.JPG
Node key:inf | self_url:http://wikipedia.org/wiki/File:Albino_peacock.jpg
Node key:inf | self_url:http://wikipedia.org/wiki/Leucistic
Node key:inf | self_url:http://wikipedia.org/w/index.php?title=Peafowl&amp;action=edit&amp;section=2
Node key:inf | self_url:http://wikipedia.org/wiki/Iridescent
Node key:inf | self_url:http://wikipedia.org/wiki/Pigment
Node key:inf | self_url:http://wikipedia.org/wiki/Structural_colouration
Node key:inf | self_url:http://wikipedia.org/wiki/Interference_(wave_propagation)
Node key:inf | self_url:http://wikipedia.org/wiki/Bragg_reflections
Node key:inf | self_url:http://wikipedia.org/wiki/Barbule
Node key:inf | self_url:http://wikipedia.org/wiki/Fabry%E2%80%93P%C3%A9rot_interferometer
Node key:inf | self_url:http://wikipedia.org/wiki/Iridescence
Node key:inf | self_url:http://wikipedia.org/w/index.php?title=Peafowl&amp;action=edit&amp;section=3
Node key:inf | self_url:http://wikipedia.org/wiki/Charles_Darwin
Node key:inf | self_url:http://wikipedia.org/wiki/On_the_Origin_of_Species
Node key:inf | self_url:http://wikipedia.org/wiki/Sexual_selection
Node key:inf | self_url:http://wikipedia.org/wiki/The_Descent_of_Man_and_Selection_in_Relation_to_Sex
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#cite_note-2
Node key:inf | self_url:http://wikipedia.org/wiki/File:Peacock_Flying.jpg
Node key:inf | self_url:http://wikipedia.org/wiki/Tamil_Nadu
Node key:inf | self_url:http://wikipedia.org/wiki/File:Indian_Peacock_Plumage.jpg
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#cite_note-Zuk-3
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#cite_note-4
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#cite_note-5
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#cite_note-6
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#cite_note-7
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#cite_note-8
Node key:inf | self_url:http://wikipedia.org/wiki/Eyespot_(mimicry)
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#cite_note-9
Node key:inf | self_url:http://wikipedia.org/wiki/Peafowl#cite_note-10
Node key:inf | self_url:http://wikipedia.org/wiki/Aposematic
